,QuestionsHighlyDisagreeID
0,e6700252-2540-4503-b601-9ea77c5824c3
1,43398efe-2fd3-4426-a7b1-6c2394235c2b
2,29f0ef89-165a-4cb6-b85e-2e29a3ea63fa
3,44aa9339-fb33-4567-9d48-9426ee45eec6
4,46629c2d-0dce-4f4c-908b-e4f86e7c204f
5,2ea37264-ba5f-4179-9424-769ba320d0ad
6,3d824a87-cb04-4836-8d01-39edbf20542f
7,440a7bc1-16ab-4088-8516-d137d7118c91
8,b9b2e178-9ff6-463e-a8e2-08c634b84ba4
9,f7dd3e85-7dbb-4ad4-83d4-4103880828f7
10,e08b26f7-8cd6-4e5f-acd2-668f6647e2f5
11,af60e04d-3a94-4d68-a03b-69912094ea74
12,1a026fbd-b23d-4e99-a39f-efd7cee9ad9b
13,5837adca-d080-4a36-970f-beea52d4f189
14,398b92bd-c368-41be-85fc-67b057f4e680
15,1c1f637a-2ce7-48e4-a1e7-31d17bb96d89
16,935d994f-4ca8-4d6e-af01-faeeb86f24d3
17,552b3443-e420-4c0f-b0bd-4836b587de1c
18,994db647-6a9f-426a-bfa8-03630e947538
19,ca84eeb6-6a68-4d6f-a19f-a8000746aa0d
20,d6e15560-0165-47c3-8e79-ff026f19c110
21,601715be-001a-44f8-a608-497834e4d596
22,d8cd6d52-fb0c-4bdb-9729-d771de8245b2
23,8d8bd007-04b6-4342-838d-6fdc9a3d46d2
24,28867eb1-c33a-4441-8abf-0e601a8990e9
25,63922e13-38d0-42c3-8e1c-1ee78a2a4998
26,4968cd8f-091d-4c5b-a958-71415f3dd85f
27,70743c01-62f9-453a-a5f5-59f395b06033
28,44a7efaa-5d46-48be-805b-bc58632262f1
29,c87947cf-c58b-4507-94d7-cfdb28e05569
30,5e3ecec4-06c3-40e3-87e7-910c7100f270
31,399b170b-7326-4f88-a9b4-1fc5c5a4dce0
32,e3032731-51dc-4368-b340-5c754327feb3
33,c87d8f28-23f1-4475-90da-1d2d19a9c85e
34,f2856b3f-1cd3-427b-a1f0-519e876b9e09
35,11706922-42c8-46e4-abb7-259f12197dc2
36,85fcdae3-4352-4570-9892-0ef0b37d2562
37,a5b67502-05d0-456a-917d-054d867b51ef
38,495aaca5-23d5-4777-a78b-d6b2958f4980
39,72dab881-9572-4c3d-bbec-79407c61c54e
40,8d79ff0c-ad61-40dd-ad65-dacfcfe9fa99
41,c1410789-726e-43ba-b405-98cb34db790c
42,e6b13466-3014-48e6-9d96-1670b24ee681
43,7de83e11-18f5-43c6-9998-4b8eba102cf0
44,2bd610f8-0899-4388-bb44-fb48af8ab851
45,3c0e15c1-11c6-4810-95ef-959812509cf0
46,67636aaa-1a04-41f3-9be0-7f133487fc0e
47,d485acd3-cb8a-452f-b053-4e658a9ba3d4
48,70d72095-db0e-4dff-8d25-a43836dfb3a3
49,ebcf9610-b958-4b39-9f39-dae1363d6240
50,8db5ea7d-1e03-45e3-af87-ef2701fbbda1
51,e87dd5fa-8b11-48ed-af67-e66a297047c2
52,456340f4-fe83-4a27-a647-b807dd516bcf
53,2caf64c4-8f7e-4841-a278-d4d2ce15b644
54,b745d53c-1157-430b-a0cb-32cf705c7f28
55,001460c2-712d-45d2-8afe-cdac237196a2
56,b3ca2492-43a6-435a-bef6-c60083902ae5
57,cfd457ec-0a61-40e0-8939-b29c27767dd0
58,8353a105-8906-4b35-bdcd-33a98cc859b1
59,1ddc5730-44cb-482f-a7d9-4510de6452d3
60,312e1e69-0285-41e5-b248-e8cb075c9e6d
61,e01bc807-a071-4def-ae51-da7ffd753a2c
62,96b72c46-2d23-4be0-85fa-483a232b95d6
63,26869252-b3c1-42c3-bfe3-489c8e5b5e49
64,895f9a7c-f8a7-4000-8055-9ccb3654c00d
65,a2690dcf-8a7c-4a87-9234-b69046b1dd32
66,57fd88ff-e6b3-4b49-863c-e30fadc75475
67,b5c37a5f-250d-47a9-9931-795d8e3c9856
